,category,link,title,summary
28,科技,https://technews.tw/2020/04/23/cxmt-dram-at-2020/?utm_source=fb_tn&utm_medium=facebook,來自中國供應商 DRAM 顆粒正式進入市場，對記憶體前景更添變數 | TechNews 科技新報,來自中國供應商 DRAM 顆粒正式進入市場，對記憶體前景更添變數 | TechNews 科技新報
29,科技,https://technews.tw/2020/04/22/ic-insights-semiconductor-growth-rate-at-2020/?utm_source=fb_tn&utm_medium=facebook,疫情衝擊，2020 年將創史上首次連第 2 年全球 IC 單位出貨量下滑 | TechNews 科技新報,疫情衝擊，2020 年將創史上首次連第 2 年全球 IC 單位出貨量下滑 | TechNews 科技新報
30,APP應用程式,https://chinese.engadget.com/chinese-2020-04-23-apple-ios-mail-app-malware-vulnerability.html,iOS 原生郵件應用似乎成為了惡意程式攻擊的缺口,iOS 原生郵件應用似乎成為了惡意程式攻擊的缺口
31,Engadget,https://chinese.engadget.com/chinese-2020-04-23-samsung-lifestyle-tv-tw.html,Samsung 在臺推出設計生活系列電視,Samsung 在臺推出設計生活系列電視
32,手機平板,https://chinese.engadget.com/chinese-2020-04-23-meizu-17-teaser.html,魅族 17 官方照片已被放出,魅族 17 官方照片已被放出
33,Inside,https://www.inside.com.tw/article/19598-netflix-tv-shows-movies-new-2020-pandemic-production,Netflix：放心，2020 新片絕對夠看，就連 2021 也沒問題 - INSIDE,Netflix：放心，2020 新片絕對夠看，就連 2021 也沒問題 - INSIDE
34,科技,https://technews.tw/2020/04/23/cxmt-dram-at-2020/?utm_source=fb_tn&utm_medium=facebook,來自中國供應商 DRAM 顆粒正式進入市場，對記憶體前景更添變數 | TechNews 科技新報,來自中國供應商 DRAM 顆粒正式進入市場，對記憶體前景更添變數 | TechNews 科技新報
35,科技,https://technews.tw/2020/04/22/ic-insights-semiconductor-growth-rate-at-2020/?utm_source=fb_tn&utm_medium=facebook,疫情衝擊，2020 年將創史上首次連第 2 年全球 IC 單位出貨量下滑 | TechNews 科技新報,疫情衝擊，2020 年將創史上首次連第 2 年全球 IC 單位出貨量下滑 | TechNews 科技新報
36,APP應用程式,https://chinese.engadget.com/chinese-2020-04-23-apple-ios-mail-app-malware-vulnerability.html,iOS 原生郵件應用似乎成為了惡意程式攻擊的缺口,iOS 原生郵件應用似乎成為了惡意程式攻擊的缺口
37,Engadget,https://chinese.engadget.com/chinese-2020-04-23-samsung-lifestyle-tv-tw.html,Samsung 在臺推出設計生活系列電視,Samsung 在臺推出設計生活系列電視
38,手機平板,https://chinese.engadget.com/chinese-2020-04-23-meizu-17-teaser.html,魅族 17 官方照片已被放出,魅族 17 官方照片已被放出
39,Engadget,https://chinese.engadget.com/chinese-2020-04-23-magic-leapmagic-leap-layoffs.html,據指 Magic Leap 要裁員近半,據指 Magic Leap 要裁員近半
40,兩岸,https://www.storm.mg/article/2540416,全球抗疫》拖了3個月確診近萬，終於發布緊急事態：飽受批評的日本佛系防疫-風傳媒,全球抗疫》拖了3個月確診近萬，終於發布緊急事態：飽受批評的日本佛系防疫-風傳媒
